timestamp,high,volume,low,close,open
2017-08-17 15:00:00,320.00,2239.65658171,307.55,308.15,315.00
2017-08-17 16:00:00,308.15,416.50122041,305.03,306.00,308.15
2017-08-17 17:00:00,306.25,1055.71165205,300.63,300.63,306.00
2017-08-17 18:00:00,304.29,1561.01381847,298.99,304.12,300.63
2017-08-17 19:00:00,303.99,509.67970733,300.11,300.50,303.99
2017-08-17 20:00:00,302.76,310.61591341,298.30,298.84,300.67
2017-08-17 21:00:00,301.50,371.96313907,297.30,300.45,300.71
2017-08-17 22:00:00,303.30,363.62247686,299.40,303.30,300.45
2017-08-17 23:00:00,304.51,195.63044707,301.00,301.00,303.50
2017-08-18 00:00:00,304.46,576.95605925,300.53,301.81,302.00
2017-08-18 01:00:00,303.75,119.70498916,299.99,301.05,301.41
2017-08-18 02:00:00,301.27,166.04528971,295.77,295.80,300.00
2017-08-18 03:00:00,299.42,120.34304898,295.00,299.42,295.77
2017-08-18 04:00:00,304.69,347.30580653,296.73,304.69,298.72
2017-08-18 05:00:00,306.90,680.87204409,299.85,299.90,304.68
2017-08-18 06:00:00,303.13,197.75724241,299.50,303.12,299.90
2017-08-18 07:00:00,305.10,91.52655915,301.66,304.35,301.76
2017-08-18 08:00:00,305.07,16.33090836,303.40,303.40,304.23
2017-08-18 09:00:00,307.50,167.25365496,302.91,305.71,304.15
2017-08-18 10:00:00,306.94,176.13376209,303.23,304.00,305.71
2017-08-18 11:00:00,305.00,89.18313517,302.49,304.00,304.23
2017-08-18 12:00:00,307.49,260.01179984,304.91,305.84,304.97
2017-08-18 13:00:00,307.50,233.91050853,305.02,305.21,305.11
2017-08-18 14:00:00,306.21,250.62280671,304.15,304.87,305.99
2017-08-18 15:00:00,307.31,932.25870719,300.51,302.04,305.15
2017-08-18 16:00:00,301.99,653.74070649,297.22,299.92,301.99
2017-08-18 17:00:00,300.86,599.08402619,297.50,298.50,299.61
2017-08-18 18:00:00,299.75,672.87908418,297.16,298.01,298.42
2017-08-18 19:00:00,299.69,505.45589679,294.00,295.70,299.11
2017-08-18 20:00:00,297.91,476.76933093,291.00,291.86,297.12
2017-08-18 21:00:00,295.49,668.50371456,288.59,295.49,291.86
2017-08-18 22:00:00,294.14,299.04381324,289.38,292.68,294.14
2017-08-18 23:00:00,292.66,495.77255153,285.90,287.80,291.27
2017-08-19 00:00:00,296.14,584.40701014,286.30,295.11,288.01
2017-08-19 01:00:00,295.47,170.54432430,290.41,293.10,294.99
2017-08-19 02:00:00,297.50,266.16374210,293.11,296.27,293.11
2017-08-19 03:00:00,297.50,311.09772707,295.48,295.48,297.15
2017-08-19 04:00:00,298.29,402.11991471,296.56,298.13,296.56
2017-08-19 05:00:00,297.99,223.89363196,292.09,294.09,297.99
2017-08-19 06:00:00,296.45,333.31615607,294.09,294.35,294.09
2017-08-19 07:00:00,295.60,296.11272902,292.21,293.95,295.05
2017-08-19 08:00:00,293.05,356.22601505,289.00,289.00,292.93
2017-08-19 09:00:00,290.39,123.25122036,286.90,290.15,289.58
